time,motor_angle,pendulum_angle,rpm,current
3.345,0.000,0.000,0.000,0.000
3.367,0.000,0.000,0.000,0.000
3.389,0.000,0.000,0.000,0.000
3.409,0.000,0.000,0.000,0.000
3.431,0.000,0.000,0.000,0.000
3.453,0.000,0.000,0.000,0.000
3.474,0.000,0.000,0.000,0.000
3.495,0.000,0.000,0.000,0.000
3.516,0.000,0.000,0.000,0.000
3.537,0.000,0.000,0.000,0.000
3.557,0.000,0.000,0.000,0.000
3.578,0.000,0.000,0.000,0.000
3.601,0.000,0.000,0.000,0.000
3.622,0.000,0.000,0.000,0.000
3.642,0.000,0.000,0.000,0.000
3.664,0.000,0.000,0.000,0.000
3.686,0.000,0.000,0.000,0.000
3.708,0.000,0.000,0.000,0.000
3.728,0.000,0.000,0.000,0.000
3.750,0.000,0.000,0.000,0.000
3.771,0.000,0.000,0.000,0.000
3.793,0.000,0.000,0.000,0.000
3.814,0.000,0.000,0.000,0.000
3.835,0.000,0.000,0.000,0.000
3.857,0.000,0.000,0.000,0.000
3.878,0.000,0.000,0.000,0.000
3.899,0.000,0.000,0.000,0.000
3.921,0.000,0.000,0.000,0.000
3.942,0.000,0.000,0.000,0.000
3.964,0.000,0.000,0.000,0.000
3.985,0.000,0.000,0.000,0.000
4.006,0.000,0.000,0.000,0.000
4.028,0.000,0.000,0.000,0.000
4.048,0.000,0.000,0.000,0.000
4.070,0.000,0.000,0.000,0.000
4.092,0.000,0.000,0.000,0.000
4.113,0.000,0.000,0.000,0.000
4.134,0.000,0.000,0.000,0.000
4.155,0.000,0.000,0.000,0.000
4.177,0.000,0.000,0.000,0.000
4.198,0.000,0.000,0.000,0.000
4.219,0.000,0.000,0.000,0.000
4.239,0.000,0.000,0.000,0.000
4.261,0.000,0.000,0.000,0.000
4.282,0.000,0.000,0.000,0.000
4.304,0.000,0.000,0.000,0.000
4.325,0.000,0.000,0.000,0.000
4.347,0.000,0.000,0.000,0.000
4.367,0.000,0.000,0.000,0.000
4.388,0.000,0.000,0.000,0.000
4.409,0.000,0.000,0.000,0.000
4.430,0.000,0.000,0.000,0.000
4.452,0.000,0.000,0.000,0.000
4.473,0.000,0.000,0.000,0.000
4.495,0.000,0.000,0.000,0.000
4.516,0.000,0.000,0.000,0.000
4.538,0.000,0.000,0.000,0.000
4.559,0.000,0.000,0.000,0.000
4.580,0.000,0.000,0.000,0.000
4.601,0.000,0.000,0.000,0.000
4.623,0.000,0.000,0.000,0.000
4.644,0.000,0.000,0.000,0.000
4.665,0.000,0.000,0.000,0.000
4.687,0.000,0.000,0.000,0.000
4.708,0.000,0.000,0.000,0.000
4.729,0.000,0.000,0.000,0.000
4.750,0.000,0.000,0.000,0.000
4.771,0.000,0.000,0.000,0.000
4.792,0.000,0.000,0.000,0.000
4.813,0.000,0.000,0.000,0.000
4.835,0.000,0.000,0.000,0.000
4.856,0.000,0.000,0.000,0.000
4.877,0.000,0.000,0.000,0.000
4.898,0.000,0.000,0.000,0.000
4.921,0.000,0.000,0.000,0.000
4.942,0.000,0.000,0.000,0.000
4.962,0.000,0.000,0.000,0.000
4.983,0.000,0.000,0.000,0.000
