time,motor_angle,pendulum_angle,rpm,current
3.342,0.000,0.000,0.000,0.000
3.363,0.000,0.000,0.000,0.000
3.384,0.000,0.000,0.000,0.000
3.405,0.000,0.000,0.000,0.000
3.426,0.000,0.000,0.000,0.000
3.447,0.000,0.000,0.000,0.000
3.468,0.000,0.000,0.000,0.000
3.489,0.000,0.000,0.000,0.000
3.510,0.000,0.000,0.000,0.000
3.532,0.000,0.000,0.000,0.000
3.552,0.000,0.000,0.000,0.000
3.574,0.000,0.000,0.000,0.000
3.595,0.000,0.000,0.000,0.000
3.615,0.000,0.000,0.000,0.000
3.636,0.000,0.000,0.000,0.000
3.658,0.000,0.000,0.000,0.000
3.678,0.000,0.000,0.000,0.000
3.700,0.000,0.000,0.000,0.000
3.720,0.000,0.000,0.000,0.000
3.742,0.000,0.000,0.000,0.000
3.763,0.000,0.000,0.000,0.000
3.783,0.000,0.000,0.000,0.000
3.805,0.000,0.000,0.000,0.000
3.826,0.000,0.000,0.000,0.000
3.847,0.000,0.000,0.000,0.000
3.868,0.000,0.000,0.000,0.000
3.889,0.000,0.000,0.000,0.000
3.911,0.000,0.000,0.000,0.000
3.932,0.000,0.000,0.000,0.000
3.952,0.000,0.000,0.000,0.000
3.974,0.000,0.000,0.000,0.000
3.995,0.000,0.000,0.000,0.000
4.017,0.000,0.000,0.000,0.000
4.039,0.000,0.000,0.000,0.000
4.061,0.000,0.000,0.000,0.000
4.082,0.000,0.000,0.000,0.000
4.103,0.000,0.000,0.000,0.000
4.124,0.000,0.000,0.000,0.000
4.146,0.000,0.000,0.000,0.000
4.167,0.000,0.000,0.000,0.000
4.188,0.000,0.000,0.000,0.000
4.209,0.000,0.000,0.000,0.000
4.230,0.000,0.000,0.000,0.000
4.252,0.000,0.000,0.000,0.000
4.273,0.000,0.000,0.000,0.000
4.294,0.000,0.000,0.000,0.000
4.314,0.000,0.000,0.000,0.000
4.335,0.000,0.000,0.000,0.000
4.357,0.000,0.000,0.000,0.000
4.378,0.000,0.000,0.000,0.000
4.399,0.000,0.000,0.000,0.000
4.420,0.000,0.000,0.000,0.000
4.442,0.000,0.000,0.000,0.000
4.463,0.000,0.000,0.000,0.000
4.484,0.000,0.000,0.000,0.000
4.505,0.000,0.000,0.000,0.000
4.525,0.000,0.000,0.000,0.000
4.547,0.000,0.000,0.000,0.000
4.568,0.000,0.000,0.000,0.000
4.589,0.000,0.000,0.000,0.000
4.610,0.000,0.000,0.000,0.000
4.630,0.000,0.000,0.000,0.000
4.651,0.000,0.000,0.000,0.000
4.672,0.000,0.000,0.000,0.000
4.694,0.000,0.000,0.000,0.000
4.715,0.000,0.000,0.000,0.000
4.735,0.000,0.000,0.000,0.000
4.757,0.000,0.000,0.000,0.000
4.777,0.000,0.000,0.000,0.000
4.798,0.000,0.000,0.000,0.000
4.820,0.000,0.000,0.000,0.000
4.841,0.000,0.000,0.000,0.000
4.862,0.000,0.000,0.000,0.000
4.883,0.000,0.000,0.000,0.000
4.904,0.000,0.000,0.000,0.000
4.925,0.000,0.000,0.000,0.000
4.946,0.000,0.000,0.000,0.000
4.967,0.000,0.000,0.000,0.000
4.988,0.000,0.000,0.000,0.000
